Tweet,message,Match,polarity
1,So proud of our Sullivan Scholarship winner  Audrey Popham  She received a full rise to Valdosta State University  ,"proud, winner",positive
2,Blessed and excited to say that I have committed to play baseball  amp  further my education at The University of Louis  ,excited,positive
3,For five days and nights  hundreds of Education students who graduated in December 2019 have been camping at the un  ,,neutral
4, seatradelaw  hhesterm  trueseadog    ThickGammon,,neutral
5,RT  mbrownz  A few insights and highlights from last week   The New Digital University  Reflections on a Week that Changed Irish Higher E,,neutral
6,RT  GuyChamberland  University of Queensland  Available PhD projects  Humanities  Athens at War  Education  Psychology  Music  Business,available,positive
7,Register for the Youth Advocacy Summit 2020  week long youth leadership event hosted by  MiFamiliaVota Education Fu  ,,neutral
8,RT  AHMED48  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,important,positive
9,Thankful Dr  Belinda Gimbert  Associate Professor at The Ohio State University  facilitated a Zoom videoconference  ,thankful,positive
10,RT  Dolseca1  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,important,positive
11,RT  DougFiebig  Scholastic Education Canada is committed to supporting parents and teachers  Theyve made their digital subscriptions  Book,supporting,positive
12,RT  Mariem96027790  We  university students  demand the cancellation of the second term  Our health is more important than education  We co,important,positive
13,RT  HigherEdPoints  HigherEdPoints allows members to redeem for tuition and student loan repayments   Aeroplan and  cibc Aventura points ar,redeem,positive
14,RT  ReemElAbdawy  We  university students  demand the cancellation of the second term  Our health is more important than education  We come,important,positive
15,RT  allisonl  Are you a university teacher  Have you just moved your teaching online  Here is a course led by  CliveYoungUCL  UCLDigiEd off,led,positive
16,RT  Julisco  22years Old Nigerian Man Emeka Nelson Who Has No University Education Invents Generator That Is Fuelled By Water  Emeka who,,neutral
17,RT  arakeys  The sorts of things Im thinking as a momno way my kid is starting university in the US in the Fall as planned  and is a US c,fall,negative
18,Entertainment options I enjoy consist of Rainey Street to sightsee  Sixth Street to take in the city life  and the  ,enjoy,positive
19,The sorts of things Im thinking as a momno way my kid is starting university in the US in the Fall as planned  an  ,fall,negative
20,RT  mangrovexpo  The mangroves offer so much  We can not afford to loose this gift of nature  Our drive to  SaveNigerianMangroves was the f,"afford, loose",neutral
21, OmarKhafagy  mlodgeg  daviddlevine  charliejane There are more pressing health issues in Canada right now like obe  ,"right, like, issues",positive
22,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,kindly,positive
23,The mangroves offer so much  We can not afford to loose this gift of nature  Our drive to  SaveNigerianMangroves wa  ,"afford, loose",neutral
24,I  lt 3 Brown University  Where students will drink with tutors so as to ahieve safe space education,safe,positive
25,RT  ShashiTharoor  A small victory for common sense  amp  students  human rights  ,victory,positive
26,RT  AlyIccap   SenFeinstein please help students like me who attend  aiccucal colleges  who serve nearly 380 000 students in the  COVID19 r,like,positive
27,RT  FlyingHighRyan  While not receiving a refund for housing and meals from the university is one thing  Mr  Crows tonality in this articl,refund,positive
28, marklevinshow They cant help themselves Mark  They are a product of our public education  amp  University systems ,,neutral
29, kaylyndion   ,,neutral
30,Study at Hongik University which has provided students with excellent education since 1946     ,excellent,positive
31,If you re looking for work in Edmond  OK  check out this Education job via the link in our bio  STLR Project   Unde  ,work,positive
32,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,excited,positive
33,Sports Career Development and Industry  Business  Academic   Job https t co kuQS70XJWO  ekospor    Job  ,,neutral
34,Sports Career Development and Industry  Business  Academic   Job https t co b3J6gfQ4wU  ekospor    Job  ,,neutral
35,RT  nigeriantribune  Establishment of Fortune university will enhance access to tertiary education in Nigeria  NIIRE  ,"fortune, enhance",positive
36,RT  scholasticCDA  Scholastic Education Canada is committed to supporting parents and teachers during  Covid19  We ve made our digital subs,supporting,positive
37,RT  IndependentNGR  Covid 19  Ministry Of Education Has No Right To Close University  Says Afe Babalola    ,right,positive
38,Want to learn how Canadas Free Trade Agreements can open up new markets for your business  Join Max Vitali in  Usi  ,free,positive
39, JeffreeStarApproved  JeffreeStar Im a MA student  we had 1 5 months of strikes and now the pandemic has made all  ,,neutral
40, SenFeinstein please help students like me who attend  aiccucal colleges  who serve nearly 380 000 students in the  ,like,positive
